query,label
你 看 我 这 作业 还 行 不,我
我 会 争取 去 你 演唱会 坐 前排 的,我
喜欢 跟 你 喝酒 。,我
抛锚 横 路上 了 蜀黍 你 介意 吗,你
启动 下班 场景,你
今天 剪刀 的 时候 不 小心 把 手指 给 割伤 了,我
那 你 在 给 我 推荐 一 家 酒店 吧 ？,你
去 做 健美操 。,你
只能 说 你 越来越 调皮 了,你
谢谢 你们 的 蛋糕 礼物 红包 祝福,你
拿 什么 祭奠 你 ， 我 的 手机,我
你们 在 可能 风景 更 好 呢,你
不 是 王俊凯 我 打 死 你,我
你 能 网上 充值 吗,你
你们 一直 是 最 好 的 朋友,你
你 就 是 个 鸡蛋 吗 真 不 知道,你
几 句 挺 好 的 。,无
你 如何 谋 生计,你
我 要 你 背诗 了 。,我
我 想 唱 一 唱 星河 长卷 好 不 好 ？,我
你们 不 知道 我 姑妈 的 计算,你
熊 ， 你 摇 一 摇 你 的 头 。,其他
我 的 智慧 漂亮 的 琥珀 。,你
那 你 要 怎么 学习 吉他 呢 ？,你
我们 就 不 能 用 的 吧 是 最新 的 季节,双方
丢雷 螺母,无
还 看 什么 ？ 电视 还是 美剧 ？ 念 首 诗 。,你
希望 你 一切 都 好 ， 我 就 好,我
如此 幸运 的 你,你
你 更 傻 。,你
今晚 吃 了 什么 ？,你
愿 你们 永生 被 鲜花 和 掌声 围绕,我
宝贝 乖乖 听话 ， 妈妈 想 你,其他
主力 头痛 我 也 要 为 你们 派出 值得 回忆 的 照片,我
所以 讲 故事 吧 。,你
我 可是 个 好 学生,我
你 威曬 啦,你
你们 确实 会 玩,你
好 聪明,你
但是 你们 幸福 就 好 哈哈哈,你
真 好 小白 你 是 个 好 宝宝 。,其他
你 俩 在 降低,你
看 把 你们 的 我 操,你
因为 你 一个 都 受 连 累,我
我们 问 的 那个 我 证明,双方
可见 我们 的 一 面 吗,双方
关闭 左 夜灯,你
ok ， 琥珀 真 该,你
二十五 一盒 你 值么,你
你 唱 一个 荷塘 月色 。,你
你 主人 的 星座 属于 摩羯座,我
唉 今晚 你们 可 都 记得,你
我们 来 连 线 正在 现场 采访 的 央广 记者 王一婷 你 好玩,双方
琥珀 你 烦死 了 。,你
我 也 只 是 一个 人 。,我
美 牙 时间 到 ， 今天 你 美牙 了 吗,你
令 你 美貌 加 分 的 60 条 美丽 箴言,无
骆驼 说 ， 你 去 充电 。,你
虽然 你 的 角色 没有,你
你们 这 是 要 把 老鼠 逼 死 吗,你
五话 你 地 知 去 边,你
希望 你 一路 走 好,我
人家 没有 女票,我
被 淘宝 的 卖家 骗 了 还 讨 不 回来 钱 气死 我 了,我
我们 要 休息 一会儿 先 别 唱 了,双方
我 ， 练习 。,我
感谢 每天 坚持 的 你们,我
我 很 抱歉 没有 好好 地 爱护 你,我
关键 是 换件 睡衣 。,无
你 tmd 就 是 头 猪 。,你
我 就 喜欢 两 个 人 一起 吧 。,我
训练 架子 鼓云朵,你
今年 我 不要 再 喜欢 你 叻 ， 真的,我
